epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9751,3.45978,4.32786,4.10065,0.00067,0.1875,0.00499,0.00097,3.39449,3.93698,4.10695,0.00033033,0.00033033,0.00033033
2,21.5066,2.9802,3.8585,3.55232,0.56273,0.09208,0.03955,0.01181,3.06827,9.68262,3.5664,0.000659283,0.000659283,0.000659283
3,30.4654,2.59712,3.47781,3.04952,0.09642,0.28704,0.12865,0.03402,2.55478,3.58471,3.18187,0.000983837,0.000983837,0.000983837
4,39.4673,2.32938,3.14147,2.78711,0.10278,0.23687,0.17189,0.06064,2.53057,3.15355,3.10302,0.0009802,0.0009802,0.0009802
5,48.6483,2.1509,2.88583,2.59135,0.38422,0.49673,0.38703,0.12767,2.32744,2.72107,2.85829,0.0009736,0.0009736,0.0009736
6,57.6803,2.03886,2.68869,2.47491,0.73124,0.1243,0.16937,0.06921,2.19505,3.42454,2.75516,0.000967,0.000967,0.000967
7,66.9253,1.96129,2.48736,2.3683,0.4254,0.43333,0.3985,0.19217,1.90888,2.19358,2.41199,0.0009604,0.0009604,0.0009604
8,76.0045,1.91079,2.3922,2.32274,0.63373,0.38764,0.35729,0.15102,2.06415,2.30449,2.45843,0.0009538,0.0009538,0.0009538
9,85.0633,1.84447,2.32922,2.26766,0.37572,0.58675,0.55735,0.24773,1.86763,1.80652,2.23857,0.0009472,0.0009472,0.0009472
10,94.3968,1.81184,2.2362,2.23449,0.56314,0.44509,0.45465,0.19098,2.03425,2.10735,2.44338,0.0009406,0.0009406,0.0009406
11,103.576,1.78332,2.1691,2.18921,0.69951,0.45325,0.54609,0.20739,1.95387,1.99787,2.36567,0.000934,0.000934,0.000934
12,112.607,1.73653,2.14702,2.1635,0.78007,0.30439,0.42227,0.17415,2.07664,2.33456,2.51368,0.0009274,0.0009274,0.0009274
13,121.917,1.71818,2.06825,2.13586,0.46313,0.60866,0.52644,0.23695,1.96606,1.98127,2.39502,0.0009208,0.0009208,0.0009208
14,131.339,1.70416,2.01556,2.11962,0.64038,0.56034,0.60601,0.32317,1.70331,1.72205,2.17386,0.0009142,0.0009142,0.0009142
15,140.492,1.67023,1.98714,2.06516,0.76848,0.48568,0.65909,0.347,1.62176,1.65274,2.09354,0.0009076,0.0009076,0.0009076
16,149.59,1.65613,1.968,2.06284,0.6027,0.61287,0.69493,0.33973,1.66459,1.66309,2.12126,0.000901,0.000901,0.000901
17,159.166,1.6515,1.93879,2.0438,0.50786,0.41789,0.41203,0.15826,2.06902,2.63437,2.52548,0.0008944,0.0008944,0.0008944
18,168.469,1.64321,1.87427,2.03442,0.71072,0.50019,0.54287,0.28879,1.90289,1.92471,2.27006,0.0008878,0.0008878,0.0008878
19,177.59,1.60527,1.87502,1.99792,0.4713,0.76759,0.67269,0.31516,1.80434,1.68645,2.18613,0.0008812,0.0008812,0.0008812
20,186.536,1.63929,1.88443,2.01681,0.68337,0.50953,0.63593,0.31444,1.72307,1.56813,2.08372,0.0008746,0.0008746,0.0008746
21,195.755,1.62549,1.84288,1.98769,0.88474,0.55101,0.64646,0.32989,1.62876,1.58283,1.9648,0.000868,0.000868,0.000868
22,205.028,1.62017,1.82521,2.00246,0.66392,0.57735,0.66616,0.33634,1.74114,1.6393,2.08335,0.0008614,0.0008614,0.0008614
23,214.226,1.585,1.77701,1.95258,0.52037,0.63516,0.63147,0.3101,1.60291,1.78155,1.97754,0.0008548,0.0008548,0.0008548
24,223.309,1.60137,1.80215,1.96931,0.51706,0.58324,0.57814,0.25787,1.74646,1.77995,2.09615,0.0008482,0.0008482,0.0008482
25,232.428,1.56313,1.74928,1.93728,0.74874,0.6645,0.72103,0.38339,1.61096,1.51687,2.01999,0.0008416,0.0008416,0.0008416
26,241.485,1.57083,1.75109,1.94665,0.75151,0.40362,0.56198,0.25046,1.81941,1.78082,2.24201,0.000835,0.000835,0.000835
27,250.591,1.54292,1.71965,1.91912,0.70293,0.54358,0.60067,0.35013,1.69573,1.57418,2.00702,0.0008284,0.0008284,0.0008284
28,259.622,1.55918,1.70713,1.90912,0.48786,0.73846,0.70755,0.36753,1.61753,1.44462,1.95375,0.0008218,0.0008218,0.0008218
29,268.665,1.55042,1.6993,1.91314,0.44866,0.68193,0.6251,0.38218,1.61543,1.49525,1.99377,0.0008152,0.0008152,0.0008152
30,277.777,1.54096,1.69049,1.90971,0.7506,0.59462,0.72836,0.37807,1.73718,1.60857,2.064,0.0008086,0.0008086,0.0008086
31,287.045,1.53086,1.63177,1.88809,0.81527,0.60944,0.72621,0.40573,1.53231,1.32215,1.85005,0.000802,0.000802,0.000802
32,303.473,1.511,1.62823,1.8891,0.64278,0.75403,0.77051,0.43251,1.42375,1.38043,1.76702,0.0007954,0.0007954,0.0007954
33,314.047,1.51757,1.68586,1.88912,0.55091,0.60955,0.63564,0.3522,1.56157,1.45994,1.91392,0.0007888,0.0007888,0.0007888
34,323.03,1.50894,1.63031,1.87975,0.75251,0.49966,0.56129,0.31011,1.59291,1.75024,1.90693,0.0007822,0.0007822,0.0007822
35,332.096,1.50005,1.63085,1.86686,0.64535,0.61462,0.59931,0.35585,1.49819,1.47358,1.79632,0.0007756,0.0007756,0.0007756
36,340.69,1.49261,1.59761,1.85751,0.61708,0.74343,0.78427,0.43541,1.6254,1.36371,1.89386,0.000769,0.000769,0.000769
37,349.473,1.50374,1.60252,1.8639,0.64642,0.72597,0.68728,0.36222,1.65111,1.36001,1.94047,0.0007624,0.0007624,0.0007624
38,358.36,1.50648,1.61907,1.85204,0.74651,0.6566,0.71503,0.38304,1.66162,1.39245,1.97991,0.0007558,0.0007558,0.0007558
39,367.042,1.46987,1.57446,1.83433,0.84831,0.63156,0.75896,0.45031,1.44682,1.25062,1.84442,0.0007492,0.0007492,0.0007492
40,375.925,1.46966,1.57831,1.83213,0.59111,0.74017,0.73088,0.39853,1.49732,1.30783,1.86388,0.0007426,0.0007426,0.0007426
41,384.886,1.48593,1.56894,1.84408,0.56288,0.70147,0.68309,0.30822,1.78532,1.58694,2.04556,0.000736,0.000736,0.000736
42,393.914,1.47514,1.54193,1.83084,0.85009,0.61477,0.68896,0.39671,1.5117,1.29182,1.8026,0.0007294,0.0007294,0.0007294
43,402.871,1.46867,1.55561,1.83609,0.78506,0.56733,0.67493,0.36348,1.5647,1.49405,1.91457,0.0007228,0.0007228,0.0007228
44,412.26,1.46731,1.53657,1.81283,0.58339,0.65437,0.69529,0.41374,1.45886,1.2132,1.79214,0.0007162,0.0007162,0.0007162
45,421.394,1.46167,1.53229,1.81454,0.67914,0.66359,0.72913,0.42987,1.54364,1.34788,1.89301,0.0007096,0.0007096,0.0007096
46,430.636,1.4569,1.5247,1.82008,0.55444,0.76658,0.70005,0.41267,1.55154,1.2811,1.88011,0.000703,0.000703,0.000703
47,439.723,1.44357,1.53266,1.81386,0.89767,0.62466,0.75238,0.4285,1.51005,1.2158,1.86865,0.0006964,0.0006964,0.0006964
48,449.032,1.45119,1.5166,1.81795,0.55066,0.76127,0.74576,0.43052,1.53051,1.32719,1.83042,0.0006898,0.0006898,0.0006898
49,457.798,1.44318,1.51176,1.80291,0.60067,0.73857,0.72181,0.43293,1.49554,1.21548,1.83337,0.0006832,0.0006832,0.0006832
50,466.659,1.4131,1.49382,1.78358,0.5575,0.64499,0.69657,0.42086,1.49588,1.18918,1.84349,0.0006766,0.0006766,0.0006766
51,475.765,1.43564,1.45008,1.78731,0.66861,0.7063,0.75869,0.42714,1.52108,1.16876,1.81154,0.00067,0.00067,0.00067
52,485.166,1.41544,1.46664,1.78071,0.62134,0.63846,0.6574,0.37329,1.51649,1.41534,1.83144,0.0006634,0.0006634,0.0006634
53,494.201,1.4303,1.47575,1.78849,0.79571,0.65296,0.67575,0.41116,1.40955,1.30421,1.74955,0.0006568,0.0006568,0.0006568
54,503.28,1.42386,1.48163,1.79156,0.65323,0.70295,0.73215,0.42506,1.48433,1.24773,1.84392,0.0006502,0.0006502,0.0006502
55,512.64,1.41978,1.45483,1.78417,0.63627,0.74304,0.71014,0.44634,1.37728,1.25969,1.77045,0.0006436,0.0006436,0.0006436
56,521.67,1.4112,1.46316,1.77067,0.61902,0.69818,0.71785,0.39945,1.50429,1.29339,1.8005,0.000637,0.000637,0.000637
57,530.485,1.42795,1.45015,1.77399,0.63435,0.76915,0.71543,0.44366,1.43646,1.2146,1.77495,0.0006304,0.0006304,0.0006304
58,539.417,1.4028,1.42869,1.76824,0.68144,0.70776,0.73301,0.42172,1.47356,1.24765,1.77016,0.0006238,0.0006238,0.0006238
59,548.424,1.40589,1.43187,1.76743,0.89744,0.61482,0.72194,0.42766,1.45909,1.19085,1.77774,0.0006172,0.0006172,0.0006172
60,557.13,1.38115,1.40494,1.74018,0.55491,0.79644,0.74304,0.42958,1.45591,1.2195,1.7894,0.0006106,0.0006106,0.0006106
61,566.008,1.38569,1.41817,1.75578,0.79551,0.56848,0.65801,0.38958,1.60315,1.3212,1.9336,0.000604,0.000604,0.000604
62,575.079,1.40022,1.4252,1.7607,0.6438,0.70302,0.76308,0.44737,1.43452,1.28003,1.78906,0.0005974,0.0005974,0.0005974
63,584.158,1.4109,1.41857,1.75524,0.57028,0.71523,0.69761,0.40123,1.46639,1.2371,1.80438,0.0005908,0.0005908,0.0005908
64,592.958,1.38898,1.4216,1.76367,0.66219,0.76152,0.7504,0.44117,1.49265,1.16772,1.86018,0.0005842,0.0005842,0.0005842
65,602.086,1.39007,1.38955,1.744,0.65693,0.63932,0.71488,0.40951,1.52779,1.25242,1.82246,0.0005776,0.0005776,0.0005776
66,610.92,1.37893,1.39247,1.74787,0.48193,0.48871,0.4016,0.19225,1.92577,2.49512,2.3193,0.000571,0.000571,0.000571
67,621.555,1.38468,1.39442,1.74293,0.63232,0.76098,0.78638,0.4409,1.50772,1.17432,1.83997,0.0005644,0.0005644,0.0005644
68,666.375,1.39145,1.3966,1.74748,0.63931,0.84102,0.75223,0.42902,1.45612,1.18605,1.82122,0.0005578,0.0005578,0.0005578
69,676.036,1.37741,1.40946,1.73968,0.80226,0.61937,0.70494,0.42868,1.54338,1.18744,1.88765,0.0005512,0.0005512,0.0005512
70,686.51,1.36453,1.38368,1.73503,0.77519,0.68661,0.73309,0.46208,1.41369,1.2138,1.76663,0.0005446,0.0005446,0.0005446
71,696.465,1.35779,1.36839,1.718,0.63263,0.82712,0.75421,0.43455,1.50911,1.14785,1.8631,0.000538,0.000538,0.000538
72,706.194,1.37353,1.37426,1.72607,0.67716,0.65717,0.69611,0.39308,1.57679,1.32388,1.87199,0.0005314,0.0005314,0.0005314
73,716.237,1.37093,1.37158,1.73713,0.66567,0.72097,0.75112,0.45098,1.39646,1.19521,1.73428,0.0005248,0.0005248,0.0005248
74,726.519,1.36467,1.36481,1.73524,0.5679,0.7519,0.72925,0.3845,1.57819,1.20287,1.85663,0.0005182,0.0005182,0.0005182
75,737.08,1.36157,1.37204,1.72227,0.63577,0.74378,0.7942,0.47924,1.44447,1.19985,1.77063,0.0005116,0.0005116,0.0005116
76,747.435,1.34934,1.35508,1.71512,0.71142,0.66168,0.76372,0.45204,1.49463,1.22887,1.79049,0.000505,0.000505,0.000505
77,757.52,1.35563,1.35568,1.72602,0.67324,0.77015,0.75505,0.44885,1.42037,1.18597,1.77389,0.0004984,0.0004984,0.0004984
78,767.728,1.35174,1.35191,1.71404,0.64404,0.73342,0.75434,0.44237,1.51168,1.22144,1.82746,0.0004918,0.0004918,0.0004918
79,777.244,1.35296,1.35699,1.71695,0.63824,0.78774,0.7838,0.451,1.46197,1.17693,1.78324,0.0004852,0.0004852,0.0004852
80,785.953,1.35169,1.3516,1.71714,0.62926,0.74675,0.72222,0.40514,1.4634,1.20778,1.78365,0.0004786,0.0004786,0.0004786
81,794.619,1.33754,1.33574,1.7083,0.74112,0.73237,0.75539,0.43668,1.41656,1.13077,1.74216,0.000472,0.000472,0.000472
82,803.683,1.34545,1.32237,1.71442,0.64788,0.8066,0.79525,0.45514,1.47854,1.11449,1.79357,0.0004654,0.0004654,0.0004654
83,812.518,1.31521,1.30177,1.69391,0.85827,0.69231,0.74899,0.43004,1.49641,1.10238,1.80149,0.0004588,0.0004588,0.0004588
84,821.253,1.34376,1.33661,1.71103,0.71033,0.69231,0.71278,0.41066,1.52379,1.17202,1.81499,0.0004522,0.0004522,0.0004522
85,829.883,1.32392,1.30617,1.69137,0.65528,0.72161,0.74789,0.43086,1.45629,1.22432,1.76569,0.0004456,0.0004456,0.0004456
86,838.798,1.33312,1.30248,1.69886,0.65727,0.72551,0.75339,0.45184,1.45652,1.18866,1.79871,0.000439,0.000439,0.000439
87,847.658,1.32687,1.28341,1.69318,0.60746,0.71942,0.76223,0.4561,1.45016,1.1548,1.74918,0.0004324,0.0004324,0.0004324
88,856.606,1.32352,1.28719,1.68986,0.62277,0.74943,0.74383,0.41059,1.54048,1.15625,1.81721,0.0004258,0.0004258,0.0004258
89,865.138,1.32431,1.30299,1.6935,0.71238,0.677,0.72776,0.42585,1.48248,1.22931,1.81538,0.0004192,0.0004192,0.0004192
90,874.004,1.32094,1.3008,1.69075,0.64207,0.75491,0.75589,0.47026,1.41577,1.16206,1.7653,0.0004126,0.0004126,0.0004126
91,882.811,1.30947,1.27829,1.68949,0.67527,0.75481,0.76653,0.43307,1.37878,1.15682,1.72058,0.000406,0.000406,0.000406
92,891.722,1.3075,1.27673,1.68269,0.60301,0.77565,0.76058,0.43659,1.47527,1.15294,1.85695,0.0003994,0.0003994,0.0003994
93,900.213,1.30012,1.28014,1.67616,0.65439,0.78859,0.75417,0.43607,1.47608,1.18171,1.80524,0.0003928,0.0003928,0.0003928
94,908.758,1.31228,1.27242,1.68721,0.67189,0.79648,0.77577,0.46467,1.44581,1.10821,1.78087,0.0003862,0.0003862,0.0003862
95,917.503,1.31412,1.26862,1.6785,0.67295,0.71132,0.7299,0.43505,1.51343,1.08166,1.83508,0.0003796,0.0003796,0.0003796
96,926.078,1.30254,1.2682,1.67292,0.71137,0.71546,0.73825,0.44321,1.47429,1.15162,1.78653,0.000373,0.000373,0.000373
97,934.596,1.3007,1.27352,1.68205,0.65918,0.76453,0.75835,0.45512,1.44424,1.14757,1.77843,0.0003664,0.0003664,0.0003664
98,943.219,1.29426,1.25574,1.66512,0.6688,0.68591,0.72962,0.46751,1.40059,1.1865,1.78826,0.0003598,0.0003598,0.0003598
99,951.857,1.3104,1.27136,1.67344,0.62226,0.77565,0.75076,0.44064,1.42022,1.14454,1.77402,0.0003532,0.0003532,0.0003532
100,960.625,1.28507,1.2538,1.66769,0.6745,0.69702,0.7405,0.47436,1.46681,1.10222,1.81448,0.0003466,0.0003466,0.0003466
101,969.558,1.27875,1.23961,1.65803,0.61366,0.73398,0.7233,0.43097,1.48132,1.16864,1.82998,0.00034,0.00034,0.00034
102,978.218,1.30035,1.26744,1.6826,0.64272,0.68911,0.7175,0.43259,1.50764,1.1896,1.83077,0.0003334,0.0003334,0.0003334
103,987.065,1.27906,1.24269,1.66096,0.62683,0.80551,0.74838,0.43699,1.47109,1.15973,1.76289,0.0003268,0.0003268,0.0003268
104,995.738,1.27479,1.22023,1.64984,0.76677,0.70371,0.75644,0.45778,1.48896,1.06644,1.82829,0.0003202,0.0003202,0.0003202
105,1004.46,1.27431,1.2329,1.65006,0.70925,0.72295,0.75971,0.44738,1.488,1.13526,1.81733,0.0003136,0.0003136,0.0003136
106,1013.38,1.28421,1.26381,1.66324,0.68163,0.76995,0.77316,0.48144,1.41249,1.06319,1.77136,0.000307,0.000307,0.000307
107,1022.24,1.27886,1.22239,1.65511,0.65495,0.73982,0.73424,0.45345,1.52074,1.10098,1.85469,0.0003004,0.0003004,0.0003004
108,1030.91,1.27402,1.22801,1.6557,0.70346,0.73336,0.76034,0.47209,1.49362,1.09326,1.80068,0.0002938,0.0002938,0.0002938
109,1039.66,1.27143,1.22086,1.64763,0.65511,0.7385,0.77001,0.49172,1.44446,1.03387,1.80562,0.0002872,0.0002872,0.0002872
110,1048.52,1.26471,1.203,1.63423,0.71423,0.75067,0.79259,0.48996,1.41989,1.03411,1.76883,0.0002806,0.0002806,0.0002806
111,1057.4,1.26112,1.19351,1.6409,0.69232,0.722,0.75872,0.46722,1.49568,1.09837,1.8462,0.000274,0.000274,0.000274
112,1066.33,1.26474,1.20679,1.64305,0.5717,0.76275,0.74528,0.44879,1.55813,1.1198,1.90826,0.0002674,0.0002674,0.0002674
113,1075.17,1.26813,1.19951,1.64548,0.64299,0.74322,0.75934,0.47288,1.45743,1.0485,1.80633,0.0002608,0.0002608,0.0002608
114,1084.23,1.26055,1.20151,1.64261,0.69161,0.77186,0.74893,0.46919,1.51015,1.06601,1.84149,0.0002542,0.0002542,0.0002542
115,1093.57,1.24864,1.21293,1.64504,0.72864,0.71906,0.74113,0.4509,1.49546,1.12926,1.85173,0.0002476,0.0002476,0.0002476
116,1102.39,1.27342,1.2025,1.64123,0.66458,0.7122,0.75595,0.45756,1.48648,1.12808,1.82225,0.000241,0.000241,0.000241
117,1111.21,1.25016,1.17593,1.63241,0.62795,0.76674,0.75603,0.4615,1.42841,1.10802,1.74588,0.0002344,0.0002344,0.0002344
118,1120,1.24221,1.18682,1.61794,0.67923,0.73867,0.77,0.47749,1.45826,1.00861,1.76462,0.0002278,0.0002278,0.0002278
119,1128.75,1.26279,1.20671,1.63912,0.69566,0.69913,0.73907,0.4361,1.4945,1.13862,1.81295,0.0002212,0.0002212,0.0002212
120,1137.56,1.2526,1.19594,1.64054,0.71362,0.71463,0.76023,0.479,1.40183,1.0529,1.72598,0.0002146,0.0002146,0.0002146
121,1146.26,1.24848,1.18855,1.63254,0.66024,0.75623,0.76539,0.47169,1.46546,1.0167,1.80626,0.000208,0.000208,0.000208
122,1155.02,1.24756,1.17443,1.62535,0.61854,0.74348,0.74751,0.47927,1.45737,1.08788,1.81827,0.0002014,0.0002014,0.0002014
123,1163.83,1.23482,1.18689,1.61678,0.70826,0.70014,0.77116,0.47816,1.49246,1.05806,1.80541,0.0001948,0.0001948,0.0001948
124,1173.08,1.23448,1.15488,1.61276,0.65713,0.75481,0.76442,0.47666,1.48912,1.04877,1.81243,0.0001882,0.0001882,0.0001882
125,1181.81,1.23074,1.16625,1.61415,0.72172,0.70487,0.77227,0.46204,1.50883,1.04327,1.82451,0.0001816,0.0001816,0.0001816
126,1190.75,1.24812,1.1796,1.62805,0.69773,0.73362,0.76244,0.48784,1.50388,1.09918,1.82622,0.000175,0.000175,0.000175
127,1199.51,1.23862,1.17984,1.63254,0.71849,0.72938,0.76966,0.47689,1.49188,1.03375,1.84244,0.0001684,0.0001684,0.0001684
