epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4252,3.45144,4.31888,4.081,0.00071,0.18519,0.0028,0.00038,3.37938,4.02585,4.03498,0.00033033,0.00033033,0.00033033
2,45.9702,2.94538,3.83397,3.51036,0.69233,0.02083,0.05137,0.01579,2.91457,4.90205,3.58695,0.000659283,0.000659283,0.000659283
3,68.4396,2.55275,3.40635,3.02766,0.25688,0.29716,0.09777,0.03105,2.49466,3.80871,3.12485,0.000983837,0.000983837,0.000983837
4,90.4519,2.3154,3.1379,2.75343,0.20832,0.34222,0.17292,0.05882,2.38206,4.57093,2.95872,0.0009802,0.0009802,0.0009802
5,112.389,2.15334,2.83787,2.54506,0.17291,0.37715,0.279,0.11099,2.12048,2.5407,2.72443,0.0009736,0.0009736,0.0009736
6,134.244,2.02041,2.67501,2.44224,0.35838,0.36604,0.25387,0.09939,2.01632,2.73574,2.59942,0.000967,0.000967,0.000967
7,156.139,1.9311,2.50443,2.37313,0.35534,0.32006,0.3096,0.1151,2.1376,2.67641,2.60359,0.0009604,0.0009604,0.0009604
8,178.058,1.87581,2.39395,2.27163,0.41567,0.32112,0.25377,0.09924,2.3193,2.99545,2.83001,0.0009538,0.0009538,0.0009538
9,200.791,1.81922,2.32168,2.23662,0.5928,0.43654,0.53218,0.21552,1.86479,2.29266,2.33003,0.0009472,0.0009472,0.0009472
10,222.756,1.78771,2.22807,2.19819,0.53361,0.4399,0.38628,0.19136,1.9175,2.5366,2.34969,0.0009406,0.0009406,0.0009406
11,244.564,1.76642,2.13889,2.17565,0.38642,0.54666,0.47882,0.21979,1.85376,2.05063,2.32439,0.000934,0.000934,0.000934
12,266.894,1.72961,2.07534,2.11195,0.63087,0.51289,0.55355,0.24606,1.8574,1.95278,2.27787,0.0009274,0.0009274,0.0009274
13,289.261,1.70905,2.08499,2.10486,0.57269,0.67411,0.60533,0.26514,1.77383,1.82068,2.22151,0.0009208,0.0009208,0.0009208
14,311.934,1.6954,2.02522,2.08006,0.37812,0.45204,0.25951,0.10073,2.03649,2.90006,2.61804,0.0009142,0.0009142,0.0009142
15,333.944,1.69424,2.01539,2.07316,0.47341,0.64888,0.58672,0.301,1.62567,1.87857,2.04006,0.0009076,0.0009076,0.0009076
16,356.074,1.68153,1.9876,2.06925,0.56507,0.73342,0.65792,0.3302,1.78259,1.71308,2.1457,0.000901,0.000901,0.000901
17,377.899,1.65881,1.94096,2.0361,0.52631,0.46738,0.50865,0.17691,2.05705,2.50229,2.43392,0.0008944,0.0008944,0.0008944
18,399.677,1.63545,1.91936,2.0197,0.43936,0.64649,0.55511,0.25457,1.6233,1.89402,2.02213,0.0008878,0.0008878,0.0008878
19,421.886,1.63031,1.91452,2.00743,0.79127,0.53223,0.69295,0.36524,1.66411,1.61372,2.04992,0.0008812,0.0008812,0.0008812
20,443.521,1.61193,1.87321,1.99417,0.64017,0.48405,0.60902,0.31797,1.64192,1.70104,1.97935,0.0008746,0.0008746,0.0008746
21,465.391,1.60036,1.84085,1.97579,0.63285,0.74215,0.72722,0.40374,1.47341,1.47724,1.91933,0.000868,0.000868,0.000868
22,487.085,1.59755,1.83126,1.9782,0.68005,0.28042,0.38868,0.16844,2.00704,2.40698,2.48704,0.0008614,0.0008614,0.0008614
23,508.855,1.60294,1.81838,1.96387,0.55916,0.64868,0.68505,0.3675,1.58534,1.55732,1.98743,0.0008548,0.0008548,0.0008548
24,530.805,1.59222,1.80005,1.96331,0.605,0.56976,0.60925,0.31911,1.6228,1.54062,2.02358,0.0008482,0.0008482,0.0008482
25,552.657,1.57948,1.79652,1.95514,0.7126,0.70939,0.79242,0.41368,1.62128,1.41622,2.02884,0.0008416,0.0008416,0.0008416
26,574.326,1.57489,1.75256,1.94474,0.70813,0.69397,0.74382,0.42965,1.5065,1.37164,1.91824,0.000835,0.000835,0.000835
27,595.935,1.56222,1.76085,1.93008,0.66872,0.68282,0.74655,0.40774,1.54509,1.41299,1.96183,0.0008284,0.0008284,0.0008284
28,617.474,1.56829,1.7307,1.92644,0.39061,0.60667,0.58697,0.31381,1.67357,1.53889,1.98572,0.0008218,0.0008218,0.0008218
29,639.705,1.55662,1.70642,1.91418,0.67027,0.66409,0.7185,0.3918,1.66055,1.50236,1.9878,0.0008152,0.0008152,0.0008152
30,661.761,1.55128,1.72826,1.91286,0.73271,0.61406,0.69096,0.37857,1.70541,1.5714,2.06622,0.0008086,0.0008086,0.0008086
31,683.329,1.52841,1.68967,1.8932,0.72146,0.62118,0.68633,0.38654,1.60422,1.38872,1.98917,0.000802,0.000802,0.000802
32,704.867,1.52625,1.68307,1.88958,0.71684,0.50212,0.62922,0.30703,1.70189,1.72508,2.04211,0.0007954,0.0007954,0.0007954
33,726.169,1.53603,1.71169,1.88429,0.59837,0.23079,0.32435,0.15132,2.16952,3.12011,2.71361,0.0007888,0.0007888,0.0007888
34,747.531,1.52663,1.6516,1.87728,0.53038,0.6736,0.63807,0.33677,1.78934,1.67018,2.1073,0.0007822,0.0007822,0.0007822
35,769.064,1.50842,1.66113,1.86643,0.60567,0.71151,0.71564,0.39414,1.74122,1.44647,2.03097,0.0007756,0.0007756,0.0007756
36,790.962,1.5177,1.63339,1.87859,0.70274,0.68416,0.74131,0.41583,1.51156,1.3124,1.84126,0.000769,0.000769,0.000769
37,812.93,1.51178,1.68234,1.88342,0.61436,0.73316,0.77337,0.40858,1.66821,1.43251,1.99151,0.0007624,0.0007624,0.0007624
38,834.904,1.48571,1.62158,1.86211,0.67901,0.64761,0.70297,0.40031,1.52901,1.36976,1.871,0.0007558,0.0007558,0.0007558
39,856.696,1.51258,1.64613,1.86325,0.52576,0.75492,0.74029,0.41534,1.521,1.36311,1.85728,0.0007492,0.0007492,0.0007492
40,878.415,1.49178,1.62846,1.8547,0.84418,0.57722,0.72626,0.42542,1.51951,1.30519,1.85788,0.0007426,0.0007426,0.0007426
41,900.435,1.50112,1.6116,1.85718,0.50579,0.48079,0.47052,0.16917,2.09181,2.79399,2.51652,0.000736,0.000736,0.000736
42,922.382,1.48086,1.57847,1.83707,0.53576,0.77055,0.74667,0.39421,1.50739,1.37597,1.85781,0.0007294,0.0007294,0.0007294
43,944.311,1.47278,1.60883,1.84241,0.41154,0.54176,0.49293,0.19809,2.02113,2.4958,2.42651,0.0007228,0.0007228,0.0007228
44,966.506,1.47351,1.58294,1.83341,0.66375,0.77935,0.7722,0.42506,1.56515,1.33178,1.89354,0.0007162,0.0007162,0.0007162
45,988.056,1.46606,1.55804,1.82107,0.5689,0.74871,0.7377,0.3997,1.56454,1.3285,1.86166,0.0007096,0.0007096,0.0007096
46,1010.04,1.46234,1.55722,1.83107,0.60021,0.82036,0.74576,0.36873,1.62446,1.39709,1.94226,0.000703,0.000703,0.000703
47,1031.98,1.47942,1.57132,1.83492,0.54565,0.78834,0.70881,0.40612,1.51476,1.33704,1.81469,0.0006964,0.0006964,0.0006964
48,1054.26,1.4623,1.54304,1.82328,0.48211,0.68929,0.63552,0.32135,1.67562,1.62055,2.02624,0.0006898,0.0006898,0.0006898
49,1076.43,1.45771,1.55769,1.82047,0.62435,0.75133,0.71639,0.42658,1.52679,1.3156,1.85883,0.0006832,0.0006832,0.0006832
50,1098.62,1.45756,1.52731,1.81446,0.63277,0.6185,0.71417,0.41244,1.54533,1.44101,1.93411,0.0006766,0.0006766,0.0006766
51,1120.63,1.45023,1.53035,1.802,0.75012,0.66574,0.76949,0.42036,1.56776,1.33954,1.90507,0.00067,0.00067,0.00067
52,1142.24,1.45321,1.53712,1.79391,0.60115,0.56494,0.62882,0.30073,1.75323,1.72333,2.09892,0.0006634,0.0006634,0.0006634
53,1164.15,1.44305,1.50884,1.80092,0.57172,0.74826,0.69427,0.38592,1.57076,1.31024,1.91189,0.0006568,0.0006568,0.0006568
54,1186.04,1.43656,1.53388,1.79172,0.64273,0.71608,0.7191,0.41474,1.45735,1.23905,1.80957,0.0006502,0.0006502,0.0006502
55,1207.87,1.43861,1.51063,1.79482,0.5925,0.77203,0.72056,0.43274,1.47657,1.29439,1.80454,0.0006436,0.0006436,0.0006436
56,1230.03,1.43955,1.49236,1.79727,0.72855,0.71185,0.78025,0.44957,1.4817,1.25594,1.79769,0.000637,0.000637,0.000637
57,1251.8,1.42269,1.48235,1.78254,0.62024,0.76425,0.73838,0.43002,1.47555,1.23209,1.86803,0.0006304,0.0006304,0.0006304
58,1273.69,1.41696,1.48276,1.78466,0.67906,0.74704,0.74887,0.38259,1.64609,1.47964,1.91361,0.0006238,0.0006238,0.0006238
59,1295.24,1.41454,1.47076,1.7701,0.50967,0.63785,0.64977,0.32933,1.65428,1.4985,2.03939,0.0006172,0.0006172,0.0006172
60,1317.1,1.41566,1.48209,1.77314,0.53777,0.45276,0.4159,0.16854,2.12031,2.45743,2.48141,0.0006106,0.0006106,0.0006106
61,1338.66,1.41236,1.48431,1.76724,0.93339,0.11064,0.30938,0.11336,2.14688,3.16485,2.71718,0.000604,0.000604,0.000604
62,1360.33,1.40074,1.47325,1.77348,0.67577,0.51033,0.59926,0.29629,1.64017,1.57452,2.00968,0.0005974,0.0005974,0.0005974
63,1381.97,1.42059,1.47639,1.78158,0.59836,0.73685,0.74339,0.40194,1.58308,1.34436,1.92649,0.0005908,0.0005908,0.0005908
64,1403.18,1.39515,1.43874,1.76563,0.59466,0.71614,0.75184,0.41452,1.51874,1.25105,1.85001,0.0005842,0.0005842,0.0005842
65,1424.87,1.40423,1.43816,1.76603,0.55697,0.63638,0.68155,0.29014,2.01425,1.60231,2.32356,0.0005776,0.0005776,0.0005776
66,1446.5,1.38291,1.43403,1.75156,0.69127,0.75535,0.78528,0.44708,1.46011,1.1527,1.8329,0.000571,0.000571,0.000571
67,1468.34,1.40632,1.43863,1.75795,0.69816,0.76478,0.78403,0.43302,1.60767,1.22224,1.91231,0.0005644,0.0005644,0.0005644
68,1490.1,1.40582,1.44765,1.75888,0.54156,0.72782,0.73467,0.42076,1.46873,1.24294,1.82747,0.0005578,0.0005578,0.0005578
69,1512.09,1.39695,1.44226,1.7734,0.67153,0.78577,0.77156,0.4272,1.49565,1.18664,1.81845,0.0005512,0.0005512,0.0005512
70,1533.74,1.38974,1.42884,1.74949,0.60684,0.65863,0.68602,0.3346,1.77262,1.59865,2.10404,0.0005446,0.0005446,0.0005446
71,1555.66,1.3865,1.42152,1.73806,0.72857,0.68366,0.71945,0.35103,1.70418,1.42222,2.02086,0.000538,0.000538,0.000538
72,1577.48,1.39728,1.42603,1.77063,0.43724,0.47739,0.53159,0.24427,1.97079,2.05744,2.27526,0.0005314,0.0005314,0.0005314
73,1599.07,1.3802,1.40866,1.73859,0.70414,0.7476,0.7895,0.38453,1.6046,1.34147,1.91816,0.0005248,0.0005248,0.0005248
74,1620.84,1.37827,1.39575,1.72107,0.60427,0.7551,0.729,0.4017,1.50188,1.21866,1.85745,0.0005182,0.0005182,0.0005182
75,1642.65,1.38347,1.41552,1.74165,0.61907,0.62912,0.74108,0.38074,1.58535,1.41344,1.86917,0.0005116,0.0005116,0.0005116
76,1664.68,1.37551,1.40476,1.748,0.59397,0.83155,0.79383,0.42851,1.47273,1.20324,1.79825,0.000505,0.000505,0.000505
77,1686.73,1.36843,1.38661,1.73296,0.53073,0.82061,0.74848,0.41991,1.55269,1.24058,1.85206,0.0004984,0.0004984,0.0004984
78,1709.15,1.37504,1.39609,1.74511,0.71119,0.67409,0.73015,0.39026,1.55462,1.19849,1.88749,0.0004918,0.0004918,0.0004918
79,1731.44,1.3652,1.37479,1.73605,0.59117,0.83298,0.74461,0.41859,1.44284,1.20404,1.78932,0.0004852,0.0004852,0.0004852
80,1753.76,1.36039,1.38031,1.73577,0.59243,0.74886,0.7554,0.43984,1.49957,1.22392,1.85834,0.0004786,0.0004786,0.0004786
81,1775.7,1.35832,1.38221,1.73111,0.59478,0.81608,0.78787,0.47324,1.42394,1.17287,1.76361,0.000472,0.000472,0.000472
