epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8419,3.45708,4.29632,4.07475,0.00064,0.10417,0.0016,0.00052,3.29323,4.1884,4.13745,0.00033033,0.00033033,0.00033033
2,46.7339,2.99979,3.78522,3.52437,0.0123,0.43781,0.04057,0.00992,3.11489,3.79171,3.68102,0.000659283,0.000659283,0.000659283
3,69.6277,2.5726,3.36087,3.00915,0.22899,0.09237,0.06209,0.01349,2.62744,3.70763,3.17679,0.000983837,0.000983837,0.000983837
4,92.0835,2.30156,3.06991,2.71184,0.14314,0.40101,0.20004,0.05745,2.34585,3.19586,2.79372,0.0009802,0.0009802,0.0009802
5,114.67,2.12881,2.80004,2.50585,0.46832,0.40706,0.30526,0.113,2.18435,3.36654,2.63615,0.0009736,0.0009736,0.0009736
6,137.13,1.99507,2.62997,2.40385,0.47664,0.46571,0.44953,0.1573,2.05064,2.31963,2.64834,0.000967,0.000967,0.000967
7,159.571,1.92447,2.49139,2.33301,0.58829,0.41061,0.45842,0.19591,1.88187,2.29294,2.31107,0.0009604,0.0009604,0.0009604
8,182.411,1.85445,2.37285,2.24433,0.37,0.54771,0.52424,0.183,2.00349,2.24823,2.45418,0.0009538,0.0009538,0.0009538
9,204.772,1.81775,2.30149,2.20991,0.4308,0.54574,0.4453,0.15569,1.95354,2.29433,2.40094,0.0009472,0.0009472,0.0009472
10,227.23,1.79626,2.24843,2.19034,0.84186,0.45888,0.61465,0.26768,1.85427,1.87269,2.20301,0.0009406,0.0009406,0.0009406
11,249.651,1.77233,2.16476,2.1552,0.45469,0.4662,0.4676,0.21759,1.83897,2.04639,2.22376,0.000934,0.000934,0.000934
12,272.277,1.76247,2.12013,2.12815,0.64727,0.51545,0.55152,0.27485,1.81416,1.78852,2.1946,0.0009274,0.0009274,0.0009274
13,294.826,1.72769,2.11528,2.10368,0.49526,0.57816,0.53503,0.25868,1.73057,1.92517,2.13991,0.0009208,0.0009208,0.0009208
14,317.431,1.71885,2.05428,2.0699,0.48345,0.52609,0.55192,0.27003,1.70436,1.83894,2.08647,0.0009142,0.0009142,0.0009142
15,339.841,1.6881,2.02649,2.06066,0.49899,0.66432,0.65753,0.31803,1.59576,1.93135,2.03387,0.0009076,0.0009076,0.0009076
16,362.369,1.68443,2.00373,2.05405,0.67705,0.65579,0.66512,0.28499,1.79473,1.77866,2.08546,0.000901,0.000901,0.000901
17,384.81,1.66136,1.95632,2.02452,0.63633,0.59123,0.69754,0.37145,1.55427,1.63157,1.88287,0.0008944,0.0008944,0.0008944
18,407.433,1.64642,1.92136,2.0067,0.58551,0.71133,0.66565,0.36974,1.61914,1.64554,1.99431,0.0008878,0.0008878,0.0008878
19,430.016,1.64895,1.91711,2.01449,0.77995,0.59452,0.63292,0.35586,1.55825,1.67562,1.92981,0.0008812,0.0008812,0.0008812
20,452.563,1.61145,1.85024,1.972,0.44314,0.5639,0.63856,0.32357,1.56844,1.68068,1.94475,0.0008746,0.0008746,0.0008746
21,475.046,1.6102,1.83408,1.97179,0.62898,0.6827,0.72014,0.37659,1.58656,1.55983,1.93813,0.000868,0.000868,0.000868
22,497.871,1.61168,1.84691,1.97095,0.76474,0.58841,0.71,0.36456,1.61391,1.48546,1.87164,0.0008614,0.0008614,0.0008614
23,520.548,1.60815,1.79811,1.95571,0.80769,0.5786,0.7072,0.39558,1.56391,1.52901,1.91057,0.0008548,0.0008548,0.0008548
24,543.34,1.57729,1.78744,1.94253,0.58639,0.64078,0.72868,0.39522,1.5493,1.42921,1.8798,0.0008482,0.0008482,0.0008482
25,566.537,1.58087,1.78653,1.95122,0.82315,0.62179,0.79739,0.42628,1.5781,1.40114,1.92944,0.0008416,0.0008416,0.0008416
26,589.476,1.56202,1.74861,1.925,0.76201,0.59051,0.74912,0.4433,1.42057,1.509,1.8088,0.000835,0.000835,0.000835
27,612.24,1.55493,1.75445,1.91542,0.81679,0.63663,0.68419,0.3788,1.57464,1.44825,1.89904,0.0008284,0.0008284,0.0008284
28,635.009,1.54693,1.71849,1.91049,0.614,0.70891,0.66956,0.39478,1.57242,1.41453,1.88371,0.0008218,0.0008218,0.0008218
29,657.921,1.5406,1.70483,1.90129,0.71275,0.6188,0.67764,0.37123,1.61627,1.4395,1.98693,0.0008152,0.0008152,0.0008152
30,680.825,1.54279,1.71616,1.90511,0.75918,0.6323,0.72822,0.36773,1.69893,1.4291,1.98307,0.0008086,0.0008086,0.0008086
31,703.663,1.52358,1.67182,1.89051,0.74564,0.67269,0.73822,0.39628,1.57414,1.35474,1.97197,0.000802,0.000802,0.000802
32,726.163,1.54626,1.69677,1.90393,0.85142,0.60178,0.74436,0.40702,1.54768,1.37797,1.88047,0.0007954,0.0007954,0.0007954
33,749.035,1.5212,1.69203,1.87437,0.722,0.63532,0.73737,0.415,1.42707,1.41174,1.76819,0.0007888,0.0007888,0.0007888
34,771.889,1.52775,1.6428,1.8809,0.67063,0.64404,0.69141,0.39761,1.57208,1.31298,1.8724,0.0007822,0.0007822,0.0007822
35,794.644,1.50338,1.65456,1.86326,0.68273,0.64372,0.74533,0.40004,1.73035,1.42069,2.03125,0.0007756,0.0007756,0.0007756
36,817.609,1.52284,1.63793,1.87378,0.72389,0.73458,0.7537,0.4185,1.57872,1.23497,1.94546,0.000769,0.000769,0.000769
37,840.429,1.50299,1.66644,1.87376,0.5509,0.75319,0.71116,0.42003,1.48422,1.29658,1.78466,0.0007624,0.0007624,0.0007624
38,863.21,1.48181,1.60546,1.84666,0.63793,0.70369,0.74493,0.40164,1.54828,1.37904,1.85605,0.0007558,0.0007558,0.0007558
39,885.963,1.51067,1.64654,1.86084,0.60512,0.74378,0.77358,0.44643,1.47651,1.29124,1.79864,0.0007492,0.0007492,0.0007492
40,909.278,1.48978,1.61482,1.84401,0.70921,0.65548,0.72553,0.40987,1.5462,1.314,1.86619,0.0007426,0.0007426,0.0007426
41,934.948,1.49001,1.62025,1.84407,0.82743,0.63802,0.75523,0.45712,1.45902,1.29478,1.76814,0.000736,0.000736,0.000736
42,958.033,1.47754,1.575,1.82315,0.59876,0.69407,0.72872,0.41245,1.52111,1.32472,1.84671,0.0007294,0.0007294,0.0007294
43,982.703,1.4793,1.57476,1.83351,0.57917,0.70214,0.73032,0.42282,1.48612,1.33253,1.8247,0.0007228,0.0007228,0.0007228
