epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96074,1.71184,2.92807,1.79091,0.40006,0.65987,0.54095,0.28375,1.65736,2.13656,1.81334,0.00033033,0.00033033,0.00033033
2,18.4915,1.58248,2.16938,1.68732,0.38366,0.59278,0.46302,0.19788,1.77521,2.41212,2.12915,0.000659283,0.000659283,0.000659283
3,27.0478,1.584,2.02193,1.66162,0.43104,0.52071,0.51397,0.22658,1.88664,2.3551,2.10562,0.000983837,0.000983837,0.000983837
4,35.3006,1.58644,1.95829,1.6739,0.47404,0.70909,0.63541,0.31371,1.59588,1.65592,1.72828,0.0009802,0.0009802,0.0009802
5,43.5752,1.53744,1.81785,1.63042,0.62965,0.69001,0.59092,0.28621,1.67532,1.75773,1.74037,0.0009736,0.0009736,0.0009736
6,52.0099,1.54831,1.78935,1.64312,0.50393,0.65201,0.59606,0.32971,1.5852,1.62025,1.69653,0.000967,0.000967,0.000967
7,60.3633,1.51134,1.68036,1.60049,0.71794,0.49572,0.6603,0.36267,1.53323,1.65819,1.69276,0.0009604,0.0009604,0.0009604
8,68.6281,1.48884,1.6505,1.58144,0.48289,0.59297,0.56534,0.31804,1.58837,1.58496,1.68753,0.0009538,0.0009538,0.0009538
9,76.9454,1.47161,1.63505,1.59322,0.60978,0.69623,0.67719,0.31299,1.65047,1.49655,1.76005,0.0009472,0.0009472,0.0009472
10,85.7072,1.47819,1.5879,1.58519,0.50156,0.71112,0.68836,0.38214,1.61994,1.44046,1.72773,0.0009406,0.0009406,0.0009406
11,93.8728,1.46358,1.59123,1.58831,0.75417,0.56358,0.64262,0.32352,1.73458,1.53773,1.80971,0.000934,0.000934,0.000934
12,102.176,1.45148,1.581,1.57212,0.60923,0.6437,0.69003,0.40198,1.43901,1.30813,1.56476,0.0009274,0.0009274,0.0009274
13,110.452,1.43849,1.52579,1.55683,0.59918,0.68076,0.75685,0.39621,1.63022,1.36598,1.73978,0.0009208,0.0009208,0.0009208
14,119.005,1.45525,1.52648,1.56875,0.62235,0.59758,0.63198,0.37535,1.64966,1.39542,1.76918,0.0009142,0.0009142,0.0009142
15,127.492,1.41006,1.47309,1.53907,0.45426,0.60141,0.59402,0.2901,1.72914,1.71322,1.74148,0.0009076,0.0009076,0.0009076
16,135.79,1.41168,1.47622,1.55709,0.71082,0.61917,0.70437,0.36868,1.60034,1.43954,1.6264,0.000901,0.000901,0.000901
17,144.64,1.41706,1.47243,1.53395,0.64028,0.75191,0.75801,0.40707,1.57708,1.28637,1.6526,0.0008944,0.0008944,0.0008944
18,152.98,1.40169,1.42549,1.52214,0.81306,0.63089,0.75628,0.42131,1.42083,1.38503,1.54893,0.0008878,0.0008878,0.0008878
19,161.518,1.38272,1.41799,1.51722,0.6657,0.70956,0.74444,0.41388,1.53152,1.30622,1.62768,0.0008812,0.0008812,0.0008812
20,169.857,1.42171,1.42671,1.52891,0.63693,0.68836,0.76731,0.4064,1.66192,1.37666,1.70119,0.0008746,0.0008746,0.0008746
21,178.655,1.39182,1.4309,1.52137,0.55131,0.76865,0.70863,0.39079,1.47478,1.21462,1.57376,0.000868,0.000868,0.000868
22,188.509,1.37868,1.40665,1.51974,0.69713,0.74524,0.78557,0.41578,1.67631,1.29983,1.7519,0.0008614,0.0008614,0.0008614
23,197.864,1.38572,1.38827,1.50565,0.63284,0.69715,0.76972,0.46637,1.42092,1.15088,1.5371,0.0008548,0.0008548,0.0008548
24,207.158,1.39099,1.38631,1.51107,0.70263,0.6928,0.76018,0.40764,1.51234,1.27737,1.66931,0.0008482,0.0008482,0.0008482
25,216.862,1.35374,1.35961,1.49717,0.74458,0.73605,0.76059,0.41876,1.47347,1.15884,1.53791,0.0008416,0.0008416,0.0008416
26,226.093,1.36063,1.3615,1.50173,0.64319,0.77482,0.82234,0.49288,1.35941,1.2115,1.52308,0.000835,0.000835,0.000835
27,235.417,1.3555,1.3877,1.50605,0.53344,0.69354,0.67636,0.39091,1.52805,1.24873,1.61045,0.0008284,0.0008284,0.0008284
28,244.659,1.36504,1.36027,1.50467,0.57431,0.64355,0.66295,0.36184,1.60201,1.4032,1.73658,0.0008218,0.0008218,0.0008218
29,254.291,1.36114,1.36261,1.49665,0.61677,0.72471,0.76293,0.44907,1.51928,1.17672,1.67613,0.0008152,0.0008152,0.0008152
30,263.839,1.37183,1.35452,1.49963,0.62792,0.69992,0.71007,0.38829,1.67795,1.40892,1.68911,0.0008086,0.0008086,0.0008086
31,273.193,1.35799,1.31953,1.4942,0.61668,0.75019,0.72941,0.42523,1.5969,1.13066,1.65572,0.000802,0.000802,0.000802
32,282.696,1.33342,1.30201,1.48567,0.73378,0.75481,0.78573,0.44638,1.48805,1.18109,1.57735,0.0007954,0.0007954,0.0007954
33,292.244,1.35252,1.34556,1.49357,0.66161,0.76762,0.78689,0.44643,1.46644,1.09533,1.56496,0.0007888,0.0007888,0.0007888
34,301.364,1.34101,1.30813,1.47702,0.63874,0.774,0.77111,0.41805,1.53309,1.07128,1.66791,0.0007822,0.0007822,0.0007822
35,310.726,1.33754,1.31711,1.48133,0.61175,0.75192,0.73027,0.44942,1.40486,1.18578,1.53201,0.0007756,0.0007756,0.0007756
36,320.233,1.31662,1.27985,1.46988,0.62243,0.72057,0.77039,0.46118,1.41639,1.15583,1.52178,0.000769,0.000769,0.000769
37,329.568,1.33846,1.28691,1.47347,0.70698,0.6689,0.72507,0.45029,1.37645,1.12133,1.48794,0.0007624,0.0007624,0.0007624
38,339.014,1.33262,1.29798,1.46172,0.67396,0.68916,0.72353,0.38606,1.52452,1.30939,1.61537,0.0007558,0.0007558,0.0007558
39,348.61,1.31847,1.27747,1.4785,0.67396,0.67733,0.7713,0.45084,1.56728,1.14611,1.65298,0.0007492,0.0007492,0.0007492
40,357.873,1.30507,1.27881,1.4614,0.63138,0.77687,0.78766,0.45444,1.53141,1.10791,1.67135,0.0007426,0.0007426,0.0007426
41,367.228,1.30911,1.25074,1.456,0.64487,0.6713,0.7009,0.38519,1.52444,1.27839,1.6292,0.000736,0.000736,0.000736
42,376.866,1.29614,1.23727,1.45397,0.60755,0.69593,0.69429,0.38954,1.51809,1.20625,1.5793,0.0007294,0.0007294,0.0007294
43,386.13,1.33142,1.27541,1.46717,0.63474,0.7626,0.76406,0.43758,1.55021,1.14349,1.6761,0.0007228,0.0007228,0.0007228
44,395.665,1.30086,1.23981,1.44897,0.83382,0.63241,0.71434,0.42896,1.54008,1.11215,1.65309,0.0007162,0.0007162,0.0007162
45,405.336,1.30428,1.2693,1.45479,0.62071,0.78362,0.75408,0.40013,1.57966,1.14428,1.67425,0.0007096,0.0007096,0.0007096
46,414.48,1.29895,1.23194,1.45204,0.61454,0.73366,0.76154,0.45344,1.44993,1.21359,1.60267,0.000703,0.000703,0.000703
47,424.024,1.30765,1.25968,1.45275,0.75127,0.73512,0.82763,0.50857,1.41675,1.11669,1.56321,0.0006964,0.0006964,0.0006964
48,433.547,1.31061,1.23277,1.44791,0.57867,0.70334,0.68135,0.39367,1.55889,1.15597,1.71103,0.0006898,0.0006898,0.0006898
49,443.169,1.28955,1.23078,1.44596,0.5918,0.75379,0.74244,0.4452,1.45323,1.13348,1.51124,0.0006832,0.0006832,0.0006832
50,452.566,1.26603,1.20559,1.43188,0.69796,0.75862,0.81065,0.49542,1.34721,1.05076,1.4577,0.0006766,0.0006766,0.0006766
51,461.846,1.27641,1.18654,1.43959,0.72134,0.77911,0.84945,0.47302,1.48259,1.09454,1.5737,0.00067,0.00067,0.00067
52,471.151,1.25269,1.1833,1.42304,0.63278,0.81285,0.80666,0.48779,1.49571,1.03836,1.57715,0.0006634,0.0006634,0.0006634
53,480.406,1.28914,1.19609,1.44689,0.5741,0.75713,0.71357,0.43983,1.42613,1.22645,1.54921,0.0006568,0.0006568,0.0006568
54,490.105,1.27652,1.20709,1.44149,0.76293,0.73911,0.77227,0.48178,1.3701,1.01555,1.55329,0.0006502,0.0006502,0.0006502
55,498.694,1.2709,1.17213,1.42927,0.59994,0.83722,0.7815,0.47137,1.48037,1.10459,1.56907,0.0006436,0.0006436,0.0006436
56,507.163,1.2777,1.2184,1.44438,0.52288,0.79771,0.68626,0.40844,1.50833,1.15917,1.61146,0.000637,0.000637,0.000637
57,515.641,1.27598,1.20306,1.43509,0.8843,0.62156,0.73777,0.41808,1.55291,1.164,1.64557,0.0006304,0.0006304,0.0006304
58,524.172,1.26645,1.18999,1.43686,0.61522,0.78263,0.75247,0.44834,1.44627,1.07077,1.54532,0.0006238,0.0006238,0.0006238
59,532.614,1.26552,1.1752,1.43384,0.69438,0.75748,0.77481,0.46603,1.42071,1.09915,1.50609,0.0006172,0.0006172,0.0006172
60,540.977,1.25171,1.16699,1.40911,0.70222,0.72503,0.74045,0.41782,1.48772,1.11465,1.61405,0.0006106,0.0006106,0.0006106
61,549.562,1.26123,1.16553,1.42346,0.61047,0.75729,0.74576,0.45188,1.51041,1.08467,1.61498,0.000604,0.000604,0.000604
62,557.89,1.25244,1.1655,1.42344,0.57384,0.71597,0.71407,0.39207,1.57291,1.24846,1.66761,0.0005974,0.0005974,0.0005974
63,566.601,1.27499,1.16635,1.42956,0.59242,0.70488,0.70193,0.39588,1.62356,1.15689,1.74085,0.0005908,0.0005908,0.0005908
64,575.16,1.24337,1.15443,1.42254,0.70964,0.64316,0.71391,0.41808,1.44271,1.14165,1.56275,0.0005842,0.0005842,0.0005842
65,583.893,1.23899,1.14047,1.40691,0.84441,0.65191,0.71527,0.40267,1.53589,1.13979,1.59259,0.0005776,0.0005776,0.0005776
66,592.734,1.23539,1.1257,1.40648,0.59798,0.74877,0.77037,0.45113,1.45191,1.07566,1.53446,0.000571,0.000571,0.000571
67,601.303,1.24376,1.13452,1.41057,0.68831,0.79587,0.83525,0.46071,1.64232,1.05215,1.75315,0.0005644,0.0005644,0.0005644
68,609.679,1.25515,1.133,1.42201,0.6568,0.71546,0.73342,0.45421,1.45104,1.10133,1.61507,0.0005578,0.0005578,0.0005578
69,617.833,1.24223,1.16387,1.41506,0.59023,0.69171,0.69158,0.39964,1.52908,1.14263,1.71293,0.0005512,0.0005512,0.0005512
70,626.191,1.21971,1.11743,1.40515,0.63483,0.74391,0.74498,0.44241,1.48131,1.05872,1.59487,0.0005446,0.0005446,0.0005446
71,634.661,1.22477,1.10456,1.39196,0.5614,0.84982,0.77819,0.42989,1.54183,1.02171,1.65203,0.000538,0.000538,0.000538
72,643.24,1.21547,1.08182,1.38527,0.72776,0.65273,0.75135,0.41458,1.57359,1.03408,1.69735,0.0005314,0.0005314,0.0005314
73,651.989,1.22555,1.10354,1.40448,0.65653,0.68094,0.71711,0.4126,1.57148,1.06914,1.69724,0.0005248,0.0005248,0.0005248
74,660.706,1.21866,1.09024,1.39107,0.5724,0.6496,0.67715,0.39284,1.58307,1.19015,1.67491,0.0005182,0.0005182,0.0005182
75,669.329,1.20908,1.09413,1.39044,0.675,0.77696,0.80263,0.44694,1.5803,1.09001,1.70346,0.0005116,0.0005116,0.0005116
76,677.727,1.21492,1.09222,1.40157,0.71947,0.56658,0.70777,0.40502,1.5482,1.14448,1.67415,0.000505,0.000505,0.000505
