epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9237,3.46241,4.3263,4.08749,0.00081,0.22917,0.00316,0.0005,3.32915,3.94077,4.09072,0.00033033,0.00033033,0.00033033
2,22.2364,2.96105,3.80546,3.51621,0.85836,0.04902,0.05167,0.01057,3.02096,3.52484,3.61549,0.000659283,0.000659283,0.000659283
3,31.3044,2.57865,3.39626,3.00827,0.29268,0.24244,0.20625,0.05422,2.5194,3.16703,3.24173,0.000983837,0.000983837,0.000983837
4,40.546,2.28064,3.07736,2.7244,0.19669,0.38486,0.24238,0.09475,2.18978,3.10582,2.69724,0.0009802,0.0009802,0.0009802
5,49.532,2.12058,2.83449,2.55141,0.41806,0.46612,0.38701,0.13755,2.22537,2.56667,2.73513,0.0009736,0.0009736,0.0009736
6,58.7523,2.01491,2.67172,2.4388,0.3263,0.41823,0.33404,0.10354,2.17217,3.26947,2.56634,0.000967,0.000967,0.000967
7,67.7355,1.93443,2.461,2.33257,0.74219,0.35171,0.55248,0.22071,1.88215,2.12069,2.41632,0.0009604,0.0009604,0.0009604
8,77.1544,1.86795,2.37803,2.26765,0.55057,0.57959,0.52014,0.21841,1.97745,2.19072,2.41797,0.0009538,0.0009538,0.0009538
9,86.7884,1.80198,2.30279,2.22237,0.46953,0.5274,0.5289,0.2538,1.86548,2.1679,2.44428,0.0009472,0.0009472,0.0009472
10,96.9912,1.80213,2.21467,2.1997,0.69304,0.46651,0.60493,0.28236,1.80883,1.90257,2.28238,0.0009406,0.0009406,0.0009406
11,107.324,1.78078,2.19964,2.16471,0.59534,0.57902,0.55047,0.26296,1.88855,1.84007,2.3175,0.000934,0.000934,0.000934
12,117.392,1.73972,2.1506,2.14627,0.37286,0.56597,0.55606,0.28472,1.68435,1.77862,2.13881,0.0009274,0.0009274,0.0009274
13,127.68,1.73322,2.11286,2.12836,0.60899,0.73457,0.71799,0.35008,1.76291,1.66732,2.17398,0.0009208,0.0009208,0.0009208
14,137.763,1.70663,2.03683,2.0974,0.75642,0.47886,0.6364,0.3364,1.69365,1.64647,2.10335,0.0009142,0.0009142,0.0009142
15,147.631,1.68166,2.02559,2.07,0.50531,0.57362,0.60071,0.31206,1.71806,1.65809,2.1667,0.0009076,0.0009076,0.0009076
16,157.791,1.64663,1.98143,2.0554,0.55851,0.74418,0.66231,0.35051,1.64044,1.58092,2.08405,0.000901,0.000901,0.000901
17,167.844,1.64677,1.94706,2.043,0.48682,0.65468,0.64108,0.34133,1.69832,1.53468,2.1004,0.0008944,0.0008944,0.0008944
18,178.207,1.64664,1.90902,2.03279,0.73982,0.49129,0.60072,0.29512,1.82963,1.69759,2.23761,0.0008878,0.0008878,0.0008878
19,188.706,1.61069,1.89726,2.00438,0.58487,0.62985,0.63895,0.33353,1.65777,1.66466,2.10731,0.0008812,0.0008812,0.0008812
20,199.386,1.63575,1.89568,2.0148,0.80421,0.55486,0.7076,0.38336,1.75044,1.5678,2.11951,0.0008746,0.0008746,0.0008746
